x1,y1,z1,x2,y2,z2
-30,6,-40,,,
-30,7,40,,,
-30,7,-40,,,
-30,8,40,,,
-30,8,-40,,,
-30,9,40,,,
-30,9,-40,,,
-30,10,40,,,
-30,10,-40,,,
-30,11,40,,,
-30,11,-40,,,
-30,12,40,,,
-30,12,-40,,,
-30,13,40,,,
-30,13,-40,,,
-30,14,40,,,
-30,14,-40,,,
-30,15,40,,,
-30,15,-40,,,
-30,16,40,,,
-30,16,-40,,,
-30,17,40,,,
-30,17,-40,,,
-30,18,40,,,
-30,18,-40,,,
-30,19,40,,,
-30,19,-40,,,
-30,20,40,,,
-30,20,-40,,,
-30,21,40,,,
-30,21,-40,,,
-30,22,40,,,
-30,22,-40,,,
-30,23,40,,,
-30,23,-40,,,
-30,24,40,,,
-30,24,-40,,,
-30,25,40,,,
-30,25,-40,,,
-30,26,40,,,
-30,26,-40,,,
-29,-27,40,,,
-29,-27,-40,,,
-29,-26,40,,,
-29,-26,-40,,,
-29,-25,40,,,
-29,-25,-40,,,
-29,-24,40,,,
-29,-24,-40,,,
-29,-23,40,,,
-29,-23,-40,,,
-29,-22,40,,,
-29,-22,-40,,,
-29,-21,40,,,
-29,-21,-40,,,
-29,-20,40,,,
-29,-20,-40,,,
-29,-19,40,,,
-29,-19,-40,,,
-29,-18,40,,,
-29,-18,-40,,,
-29,-17,40,,,
-29,-17,-40,,,
-29,-16,40,,,
-29,-16,-40,,,
-29,-15,40,,,
-29,-15,-40,,,
-29,-14,40,,,
-29,-14,-40,,,
-29,-13,40,,,
-29,-13,-40,,,
-29,-12,40,,,
-29,-12,-40,,,
-29,-11,40,,,
-29,-11,-40,,,
-29,-10,40,,,
-29,-10,-40,,,
-29,-9,40,,,
-29,-9,-40,,,
-29,-8,40,,,
-29,-8,-40,,,
-29,-7,40,,,
-29,-7,-40,,,
-29,-6,40,,,
-29,-6,-40,,,
-29,-5,40,,,
-29,-5,-40,,,
-29,-4,40,,,
-29,-4,-40,,,
-29,-3,40,,,
-29,-3,-40,,,
-29,-2,40,,,
-29,-2,-40,,,
-29,-1,40,,,
-29,-1,-40,,,
-29,0,40,,,
-29,0,-40,,,
-29,1,40,,,
-29,1,-40,,,
-29,2,40,,,
-29,2,-40,,,
-29,3,40,,,
-29,3,-40,,,
-29,4,40,,,
-29,4,-40,,,
-29,5,40,,,
-29,5,-40,,,
-29,6,40,,,
-29,6,-40,,,
-29,7,40,,,
-29,7,-40,,,
-29,8,40,,,
-29,8,-40,,,
-29,9,40,,,
-29,9,-40,,,
-29,10,40,,,
-29,10,-40,,,
-29,11,40,,,
-29,11,-40,,,
